,BEGIN_TIME,EVENT_ID,END_TIME,EVENT_TYPE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,BEGIN_DATE,END_DATE,AFFECTED,DAMAGE,LABEL
3876,530.0,190247.0,1055.0,Flash Flood,37.2711,-79.9594,37.2705,-79.9595,07/2009/20,07/2009/20,0,5000.0,1
3877,730.0,189558.0,910.0,Flash Flood,32.62,-90.37,32.6196,-90.3662,07/2009/29,07/2009/29,0,3000.0,1
3878,1520.0,189576.0,1720.0,Flash Flood,33.6004,-90.7842,33.5969,-90.7675,07/2009/29,07/2009/29,0,15000.0,1
3879,1603.0,189580.0,1730.0,Flash Flood,33.7287,-90.7213,33.7358,-90.7012,07/2009/29,07/2009/29,0,15000.0,1
3880,2004.0,190194.0,2045.0,Flash Flood,32.76,-80.25,32.7888,-80.2781,07/2009/8,07/2009/8,0,500.0,1
3881,2045.0,190196.0,2115.0,Flash Flood,32.7816,-79.9331,32.7799,-79.9327,07/2009/8,07/2009/8,0,1000.0,1
3882,2030.0,190197.0,2115.0,Flash Flood,32.79,-79.87,32.7927,-79.8711,07/2009/8,07/2009/8,0,500.0,1
3883,1541.0,181424.0,1700.0,Flash Flood,34.5231,-93.1397,34.5104,-93.1402,07/2009/16,07/2009/16,0,15000.0,1
3884,1602.0,181425.0,1700.0,Flash Flood,34.4818,-93.1103,34.4917,-93.0951,07/2009/16,07/2009/16,0,0.0,1
3885,930.0,182804.0,1100.0,Flash Flood,34.385999999999996,-92.7284,34.4177,-92.8922,08/2009/1,08/2009/1,0,20000.0,1
3886,1030.0,182805.0,1230.0,Flash Flood,34.5089,-92.5996,34.5161,-92.65700000000001,08/2009/1,08/2009/1,0,5000.0,1
3887,1130.0,182806.0,1230.0,Flash Flood,34.59,-92.41,34.5925,-92.4247,08/2009/1,08/2009/1,0,1000.0,1
3888,600.0,190052.0,1400.0,Flood,35.1129,-91.3558,35.0728,-91.3911,08/2009/1,08/2009/12,0,100000.0,1
3889,1120.0,190604.0,1720.0,Flash Flood,39.03,-94.63,39.0277,-94.6304,08/2009/17,08/2009/17,0,0.0,1
3890,200.0,190590.0,800.0,Flash Flood,39.79,-93.08,39.7863,-93.081,08/2009/17,08/2009/17,0,0.0,1
3891,630.0,190591.0,1230.0,Flash Flood,39.6,-93.8,39.5978,-93.8011,08/2009/17,08/2009/17,0,0.0,1
3892,1900.0,189871.0,1945.0,Flash Flood,32.91,-80.11,32.9072,-80.1105,07/2009/8,07/2009/8,0,5000.0,1
3893,1915.0,190195.0,2000.0,Flash Flood,32.852,-79.9503,32.8958,-79.9678,07/2009/8,07/2009/8,0,3500.0,1
3894,30.0,189497.0,210.0,Flash Flood,32.908,-90.8844,32.9055,-90.8844,07/2009/29,07/2009/29,0,1000.0,1
3895,740.0,182774.0,1000.0,Flash Flood,34.6061,-94.2757,34.5722,-94.2654,07/2009/21,07/2009/21,0,200000.0,1
3896,1012.0,182778.0,1200.0,Flash Flood,34.8009,-91.9161,34.7682,-91.9315,07/2009/21,07/2009/21,0,10000.0,1
3897,1600.0,184606.0,2000.0,Flash Flood,44.5664,-70.529,44.5639,-70.5246,06/2009/27,06/2009/27,0,186000.0,1
3898,1600.0,184607.0,2000.0,Flash Flood,44.3842,-70.6067,44.3715,-70.6136,06/2009/27,06/2009/27,0,252000.0,1
3899,1600.0,184608.0,2000.0,Flash Flood,44.3286,-70.6496,44.3231,-70.6363,06/2009/27,06/2009/27,0,249000.0,1
3900,1600.0,184611.0,2000.0,Flash Flood,44.5636,-70.551,44.5598,-70.5468,06/2009/27,06/2009/27,0,138000.0,1
3901,245.0,181426.0,445.0,Flash Flood,36.35,-92.59,36.355,-92.601,07/2009/16,07/2009/16,0,0.0,1
3902,1900.0,176510.0,2000.0,Flash Flood,33.4441,-104.6017,33.4444,-104.5906,07/2009/30,07/2009/30,0,0.0,1
3903,630.0,190592.0,1230.0,Flash Flood,39.61,-93.4,39.6025,-93.4079,08/2009/17,08/2009/17,0,0.0,1
3904,630.0,190593.0,1230.0,Flash Flood,39.65,-93.04,39.6502,-93.0314,08/2009/17,08/2009/17,0,0.0,1
3905,950.0,187738.0,1150.0,Flash Flood,41.5436,-75.9532,41.5401,-75.9555,07/2009/31,07/2009/31,0,10000.0,1
3906,1030.0,187739.0,1330.0,Flash Flood,41.6468,-75.5763,41.6396,-75.5836,07/2009/31,07/2009/31,0,10000.0,1
3907,745.0,189531.0,900.0,Flash Flood,32.4136,-90.1342,32.4164,-90.1057,07/2009/29,07/2009/29,0,15000.0,1
3908,730.0,189520.0,900.0,Flash Flood,32.5154,-90.0948,32.5301,-90.0924,07/2009/29,07/2009/29,0,1000.0,1
3909,730.0,189522.0,900.0,Flash Flood,32.579,-90.32,32.5917,-90.3045,07/2009/29,07/2009/29,0,15000.0,1
3910,2124.0,190184.0,30.0,Flood,18.3998,-67.1565,18.3997,-67.157,09/2009/20,09/2009/21,0,0.0,1
3911,1600.0,184612.0,2000.0,Flash Flood,44.4144,-70.4141,44.3869,-70.4086,06/2009/27,06/2009/27,0,139000.0,1
3912,1800.0,187622.0,2300.0,Flash Flood,35.856,-88.0529,35.8474,-87.9703,07/2009/15,07/2009/15,0,300000.0,1
3913,1015.0,182777.0,1215.0,Flash Flood,35.7194,-91.1795,35.7187,-91.219,07/2009/21,07/2009/21,0,25000.0,1
3914,2040.0,191324.0,2300.0,Flash Flood,41.8,-89.71,41.785,-89.71,07/2009/24,07/2009/24,0,0.0,1
3915,1730.0,172098.0,1930.0,Flood,45.55,-94.17,45.5869,-94.182,07/2009/14,07/2009/14,0,0.0,1
3916,2125.0,191356.0,2230.0,Flash Flood,41.21,-90.21,41.15,-90.21,07/2009/24,07/2009/24,0,0.0,1
3917,2010.0,190193.0,2115.0,Flash Flood,32.784,-79.9534,32.7906,-79.9561,07/2009/8,07/2009/8,0,1000.0,1
3918,2003.0,190190.0,2115.0,Flash Flood,32.8058,-79.8819,32.8085,-79.8753,07/2009/8,07/2009/8,0,0.0,1
3919,1845.0,189866.0,1945.0,Flash Flood,32.95,-80.12,32.9505,-80.1222,07/2009/8,07/2009/8,0,500.0,1
3920,1404.0,189942.0,1604.0,Flash Flood,38.9,-104.74,38.8989,-104.7383,07/2009/26,07/2009/26,0,0.0,1
3921,1715.0,191171.0,1930.0,Flash Flood,38.466,-82.0555,38.395,-82.039,08/2009/10,08/2009/10,0,150000.0,1
3922,1345.0,189776.0,1420.0,Flash Flood,40.7682,-74.221,40.7651,-74.2232,07/2009/29,07/2009/29,0,0.0,1
3923,1401.0,189778.0,1420.0,Flash Flood,40.7846,-74.248,40.7853,-74.24600000000001,07/2009/29,07/2009/29,0,0.0,1
3924,1405.0,189779.0,1420.0,Flash Flood,40.7412,-74.2175,40.7404,-74.21300000000001,07/2009/29,07/2009/29,0,0.0,1
