Latitude,Longitude
47.958644,-115.73393
47.954652,-118.98095
47.939695,-119.019462
47.931112,-114.735349
47.8343,-117.837699
47.763065,-117.087375
47.705243,-116.951042
47.676175,-114.232292
47.674729,-112.48791
47.643194,-114.145429
47.60042,-112.762395
47.549113,-112.428497
47.503721,-114.229384
47.485253,-112.539583
47.448531,-119.247831
47.440789,-114.130767
47.264316,-113.931228
47.110951,-108.535466
47.085252,-119.33013
46.9895,-112.00209
46.982823,-119.264583
46.940883,-108.237168
46.800985,-112.809163
46.760509,-111.885127
46.702833,-119.030208
46.70063,-111.901861
46.671677,-119.026957
46.637258,-110.937696
46.621322,-110.746167
46.516351,-116.297014
46.450783,-110.269359
46.332136,-109.422917
46.208565,-113.278141
46.164727,-113.235417
46.159241,-112.782348
46.12965,-113.380592
46.063822,-114.236534
45.860356,-119.171723
45.717058,-114.281904
45.70526,-111.702358
45.692263,-119.817708
45.605278,-118.792708
45.450494,-109.203451
45.447866,-111.660501
45.344451,-119.54375
45.33359,-117.22121
45.305859,-107.957143
45.237904,-112.111221
45.224283,-109.765554
45.164583,-107.597944
45.13061,-106.769792
45.053061,-118.019879
45.013574,-117.78289
44.997869,-112.860426
44.970949,-116.837102
44.863227,-111.334057
44.835014,-116.902154
44.831524,-111.422178
44.671057,-117.999626
44.654902,-112.363205
44.568126,-107.213542
44.523064,-116.053057
44.51387,-106.781869
44.504773,-118.18281
44.500233,-109.186819
44.420051,-111.394991
44.39375,-116.89813
44.354561,-117.674399
44.295039,-115.645624
44.129764,-110.817278
44.097302,-108.981198
44.078935,-111.496207
44.058977,-109.049863
44.01512,-117.398688
43.912118,-118.155208
43.857485,-110.591126
43.663883,-108.827888
43.639982,-117.238522
43.593558,-115.921576
43.58693,-118.2091
43.584629,-116.73125
43.580736,-111.740813
43.526359,-116.052083
43.426524,-114.028321
43.414157,-108.177221
43.36022,-115.447429
43.350723,-115.388704
43.330514,-111.202028
43.256388,-114.360473
43.209951,-109.044413
43.195527,-108.760417
43.089658,-109.967298
43.015638,-106.698958
43.006451,-111.713537
42.995,-109.905078
42.953073,-108.819757
42.947917,-115.972917
42.906485,-117.234543
42.90693,-109.835417
42.839323,-114.906203
42.83623,-109.701363
42.793246,-109.017708
42.779062,-112.873708
42.718483,-105.613712
42.667609,-113.484084
42.644502,-111.694731
42.543117,-106.727083
42.46391,-106.853706
42.443132,-119.856249
42.274419,-111.746388
42.252083,-109.432426
42.238935,-109.372287
42.154838,-106.906358
42.130592,-119.814583
42.028371,-110.065625
41.997877,-105.043725
41.96939,-110.660417
41.852041,-105.706575
41.845177,-112.037082
41.833794,-105.642093
41.742216,-109.877083
41.684728,-115.83377
41.623799,-111.871746
41.519174,-111.745961
41.501721,-111.018826
41.475933,-105.886106
41.399013,-115.895135
41.395272,-117.179557
41.376955,-112.130397
41.254826,-111.841795
41.240531,-105.902304
41.236324,-117.218939
41.198489,-106.260465
41.185867,-111.39784
41.155854,-110.830852
41.034694,-106.861599
41.025296,-110.582609
41.008612,-116.363626
40.987786,-116.341095
40.987986,-110.386982
40.963948,-111.430527
40.919468,-111.597917
40.915665,-109.420471
40.909491,-109.86875
40.907934,-112.703454
40.849616,-105.019943
40.793559,-106.948734
40.787922,-111.40263
40.770068,-111.701575
40.76266,-111.104034
40.74884,-116.195377
40.708039,-105.087815
40.68374,-115.783548
40.673895,-105.030238
40.65688,-105.046875
40.639998,-118.269238
40.623918,-105.083955
40.603605,-105.844359
40.599261,-111.422917
40.589614,-105.164661
40.577988,-109.420236
40.561752,-110.701662
40.562222,-110.489005
40.558125,-107.382901
40.510417,-109.53125
40.502021,-105.773932
40.470148,-118.310227
40.462942,-105.042343
40.407034,-111.525821
40.406729,-105.086458
40.358628,-111.892115
40.343023,-105.126042
40.326941,-105.214853
40.295551,-110.227662
40.290901,-109.878405
40.285105,-106.833021
40.26586,-116.7009
40.21813,-105.370092
40.210417,-105.84375
40.191264,-110.444834
40.189529,-109.666085
40.174675,-105.046128
40.147981,-105.945086
40.139748,-105.856013
40.137146,-111.028275
40.108072,-108.7129
40.081497,-105.212051
40.055812,-107.047989
40.03395,-106.205943
40.030292,-105.185417
39.965712,-105.486458
39.949456,-105.357859
39.947899,-105.210434
39.876756,-106.329309
39.875545,-111.87122
39.872173,-105.115448
39.832745,-105.241537
39.788265,-111.12828
39.628571,-107.759375
39.624824,-105.057908
39.61875,-106.060416
39.602668,-111.214737
39.55497,-105.05625
39.513194,-118.513036
39.472703,-112.343452
39.460352,-119.06875
39.372709,-112.0302
39.367482,-106.46163
39.364977,-106.814496
39.289893,-111.272992
39.253663,-106.371408
39.227083,-115.052083
39.222856,-107.809638
39.210039,-105.273882
39.207266,-111.707708
39.173654,-119.90502
39.12119,-112.053324
39.101848,-111.190106
39.044175,-118.861185
39.021027,-106.245677
38.989297,-105.895655
38.97361,-105.623608
38.942351,-107.350889
38.922302,-105.069792
38.902254,-105.478234
38.893128,-114.014583
38.84375,-119.735416
38.820602,-106.604289
38.68814,-107.604956
38.68404,-117.118702
38.610157,-111.632587
38.602746,-107.588549
38.45367,-107.333611
38.451537,-107.53435
38.416003,-117.459788
38.393724,-119.997266
38.331332,-119.958792
38.325225,-119.212814
38.322692,-112.191059
38.279987,-119.732871
38.230238,-107.540387
38.21623,-112.833768
38.197774,-119.985074
38.169475,-112.01883
38.034581,-108.247879
37.977502,-119.910579
37.974799,-119.880383
37.969309,-119.272015
37.949378,-119.787927
37.884367,-107.206469
37.858664,-119.107292
37.804965,-107.097643
37.79062,-108.291307
37.750456,-119.149704
37.722445,-112.631263
37.72147,-107.270318
37.662211,-109.437291
37.587829,-118.707834
37.578215,-108.571436
37.548048,-107.805617
37.517876,-113.86166
37.503946,-107.222694
37.483237,-108.627786
37.399487,-108.273317
37.392887,-105.39218
37.382549,-107.659343
37.377799,-107.572064
37.370232,-118.985417
37.357802,-106.285638
37.350215,-106.545704
37.324723,-119.317006
37.293805,-119.527037
37.272603,-118.970118
37.252699,-113.77703
37.245224,-106.341351
37.233163,-119.216391
37.219517,-119.984278
37.209426,-118.614878
37.185529,-113.382203
37.168549,-118.569162
37.144915,-119.450339
