,Unnamed: 0,Unnamed: 0.1,EVENT_ID,osm,forest,forest_year,BEGIN_LAT,BEGIN_LON,BEGIN_DATE,precip2,precip1,LABEL,DAMS
142,142,142,172709,53,0,8,37.87,-95.74,05/2009/8,0,34.5,1,21.44137022
143,143,143,150691,0,0,8,38.9977,-93.2133,01/2009/1,0,0,1,78.81477396
144,144,144,201676,4,0,8,36.33,-90.38,10/2009/30,29.7,136.9,1,67.5021853
145,145,145,146509,78,0,8,45.3973,-122.5089,01/2009/2,114,51.9,1,12.71991909
146,146,146,146510,14,0,8,45.2774,-122.7197,01/2009/2,113.6,53.3,1,15.33414074
147,147,147,146511,4,0,8,45.3543,-121.9458,01/2009/2,96,43.9,1,14.20008942
148,148,148,209012,6,0,8,31.2349,-89.0899,12/2009/14,14.5,91.8,1,40.24636045
149,149,149,203048,47,0,8,32.1827,-93.2932,12/2009/24,33.1,85.1,1,19.59441333
150,150,150,141617,9,0,8,46.7333,-120.726,01/2009/8,4.2,6.3,1,31.90186541
151,151,151,141618,11,0,8,46.7036,-120.486,01/2009/7,3,4.2,1,49.30152519
152,152,152,141624,9,0,8,46.0427,-118.4929,01/2009/8,8.3,8.6,1,53.90224999
153,153,153,200603,3,0,5,35.3568,-90.47,10/2009/30,15,36.6,1,26.36456458
154,154,154,200604,4,0,8,36.1224,-90.48,10/2009/30,16.2,88.2,1,68.81999323
155,155,155,146433,654,0,8,45.459,-123.8417,01/2009/2,52.6,18,1,34.765304
156,156,156,208703,2,0,8,32.0768,-85.5485,12/2009/14,23.2,52.1,1,60.09954538
157,157,157,208705,6,0,8,32.5613,-85.0661,12/2009/14,16.8,32.5,1,5.653351816
158,158,158,208709,17,0,8,33.7502,-88.1105,12/2009/24,1.1,23.4,1,38.91063394
159,159,159,199910,6,0,8,37.86,-91.77,10/2009/30,16.6,66.3,1,38.95461988
160,160,160,196171,77,0,8,35.1684,-90.1725,09/2009/18,15.7,21.9,1,46.06380436
161,161,161,196180,4,0,8,34.57,-89.12,09/2009/18,21.9,15.1,1,64.24589086
162,162,162,196182,9,0,8,34.7095,-88.9749,09/2009/18,44.2,35.6,1,63.21510008
163,163,163,196184,8,0,8,34.83,-88.32,09/2009/18,31.3,19.9,1,27.42687929
164,164,164,196190,9,0,8,34.62,-90.15,09/2009/20,42.9,23.9,1,15.34176017
165,165,165,196193,348,0,8,35.1262,-89.7974,09/2009/20,48,23.4,1,50.72345936
166,166,166,147907,7,0,8,39.0558,-87.6113,01/2009/1,0,0,1,7.486384604
167,167,167,204645,199,0,8,36,-78.8,12/2009/2,0.2,38.4,1,20.50947102
168,168,168,204646,260,0,8,35.9735,-78.5341,12/2009/2,0.6,32.1,1,5.379769183
169,169,169,174729,76,0,8,41.4824,-88.1907,06/2009/16,0,9.2,1,14.18493914
170,170,170,197156,40,0,5,34.7315,-111.9745,09/2009/12,0.2,0,1,55.79304039
171,171,171,152654,3,0,6,38.6694,-87.5636,01/2009/2,0,0,1,39.15784125
172,172,172,152652,201,0,8,40.1969,-85.3754,01/2009/6,0.1,4.1,1,9.048656187
173,173,173,208329,629,0,8,34.2331,-118.2238,12/2009/13,43.2,4.3,1,24.73425256
174,174,174,196158,8,0,8,34.978,-90.7567,09/2009/18,10,32.6,1,30.5495008
175,175,175,196160,5,0,8,35.0622,-88.3781,09/2009/18,43.8,34.9,1,11.91940064
176,176,176,196162,2,0,8,33.8776,-89.9586,09/2009/18,11.2,14.6,1,18.88183414
