,Unnamed: 0,EVENT_ID,osm,forest,forest_year,BEGIN_LAT,BEGIN_LON,BEGIN_DATE
134,134,204650,92,0,8,36.1,-78.46,12/2009/3
135,135,172707,183,0,7,37.93,-95.4,05/2009/8
136,136,172708,0,0,7,37.9496,-96.8156,05/2009/8
137,137,149145,6,0,8,46.0,-123.25,01/2009/7
138,138,149146,131,0,8,46.1,-123.21,01/2009/8
139,139,172701,24,0,4,38.23,-97.77,05/2009/8
140,140,172706,91,0,8,37.53,-95.82,05/2009/8
141,141,199919,2,0,7,35.709,-90.52,10/2009/13
142,142,172709,53,0,8,37.87,-95.74,05/2009/8
143,143,150691,0,0,8,38.9977,-93.2133,01/2009/1
144,144,201676,4,0,8,36.33,-90.38,10/2009/30
145,145,146509,78,0,8,45.3973,-122.5089,01/2009/2
146,146,146510,14,0,8,45.2774,-122.7197,01/2009/2
147,147,146511,4,0,8,45.3543,-121.9458,01/2009/2
148,148,209012,6,0,8,31.2349,-89.0899,12/2009/14
149,149,203048,47,0,8,32.1827,-93.2932,12/2009/24
150,150,141617,9,0,8,46.7333,-120.726,01/2009/8
151,151,141618,11,0,8,46.7036,-120.486,01/2009/7
152,152,141624,9,0,8,46.0427,-118.4929,01/2009/8
153,153,200603,3,0,5,35.3568,-90.47,10/2009/30
154,154,200604,4,0,8,36.1224,-90.48,10/2009/30
155,155,146433,654,0,8,45.459,-123.8417,01/2009/2
156,156,208703,2,0,8,32.0768,-85.5485,12/2009/14
157,157,208705,6,0,8,32.5613,-85.0661,12/2009/14
158,158,208709,17,0,8,33.7502,-88.1105,12/2009/24
159,159,199910,6,0,8,37.86,-91.77,10/2009/30
160,160,196171,77,0,8,35.1684,-90.1725,09/2009/18
161,161,196180,4,0,8,34.57,-89.12,09/2009/18
162,162,196182,9,0,8,34.7095,-88.9749,09/2009/18
163,163,196184,8,0,8,34.83,-88.32,09/2009/18
164,164,196190,9,0,8,34.62,-90.15,09/2009/20
165,165,196193,348,0,8,35.1262,-89.7974,09/2009/20
166,166,147907,7,0,8,39.0558,-87.6113,01/2009/1
167,167,204645,199,0,8,36.0,-78.8,12/2009/2
168,168,204646,260,0,8,35.9735,-78.5341,12/2009/2
169,169,174729,76,0,8,41.4824,-88.1907,06/2009/16
170,170,197156,40,0,5,34.7315,-111.9745,09/2009/12
171,171,152654,3,0,6,38.6694,-87.5636,01/2009/2
172,172,152652,201,0,8,40.1969,-85.3754,01/2009/6
173,173,208329,629,0,8,34.2331,-118.2238,12/2009/13
174,174,196158,8,0,8,34.978,-90.7567,09/2009/18
175,175,196160,5,0,8,35.0622,-88.3781,09/2009/18
176,176,196162,2,0,8,33.8776,-89.9586,09/2009/18
177,177,208673,64,0,8,33.76,-88.11,12/2009/8
178,178,201980,10,0,8,34.9434,-92.0991,12/2009/24
179,179,196165,124,0,8,35.0764,-90.0872,09/2009/18
180,180,196166,1,0,8,35.7,-88.13,09/2009/18
181,181,196172,61,0,8,34.9062,-88.5062,09/2009/18
182,182,208687,5,0,8,34.2187,-88.1474,12/2009/8
183,183,172663,8,0,8,37.0809,-95.6889,05/2009/8
184,184,196802,14,0,8,34.679,-88.55,09/2009/20
185,185,197322,4,0,8,35.3313,-86.5302,09/2009/20
186,186,197341,28,0,8,34.6724,-87.3146,09/2009/25
187,187,207429,29,0,8,35.3907,-82.4234,12/2009/25
188,188,198919,8,0,8,36.2589,-91.0032,10/2009/9
189,189,199090,98,0,8,34.27,-88.72,10/2009/13
190,190,199092,4,0,8,34.3658,-89.0,10/2009/13
191,191,196803,5,0,8,35.1234,-90.77,09/2009/21
192,192,196805,238,0,8,35.8166,-90.7068,09/2009/21
193,193,196854,7,0,8,33.7425,-88.3248,09/2009/23
194,194,196855,7,0,8,34.9832,-88.9779,09/2009/23
195,195,196856,2,0,8,33.7481,-90.2015,09/2009/23
196,196,196925,3,0,8,33.899,-89.18,09/2009/24
197,197,207602,1,0,1,33.8786,-116.5602,12/2009/13
198,198,202341,8,0,8,36.93,-90.75,12/2009/24
199,199,202355,41,0,8,36.6,-89.53,12/2009/24
200,200,161775,22,0,8,39.47,-92.22,03/2009/24
201,201,157247,7,0,1,40.1878,-87.4263,03/2009/9
202,202,156281,5,0,2,38.9967,-87.5939,02/2009/11
203,203,161516,964,0,7,42.9998,-78.1939,03/2009/8
204,204,145886,2,0,8,37.87,-83.92,01/2009/28
205,205,157252,15,0,1,39.7377,-87.3858,03/2009/11
206,206,156282,207,0,8,38.6979,-87.5155,02/2009/14
207,207,156283,10,0,8,38.6955,-87.52600000000002,02/2009/13
208,208,156284,1,0,8,38.3803,-87.7821,02/2009/13
209,209,161517,68,0,7,43.0991,-78.6474,03/2009/10
210,210,156883,2,0,8,38.9789,-86.9667,02/2009/11
211,211,156903,2,0,8,38.9218,-87.1003,02/2009/11
212,212,156904,17,0,8,38.8204,-87.2448,02/2009/11
213,213,207930,4,0,8,38.001,-90.0577,12/2009/24
214,214,160969,8,0,8,31.25,-90.47,03/2009/27
215,215,157302,2,0,8,39.1355,-87.6621,03/2009/11
216,216,155392,3,0,8,33.93,-89.33,02/2009/27
217,217,163358,4,0,8,31.2282,-83.9081,03/2009/31
218,218,207933,0,0,8,37.6208,-90.1593,12/2009/24
219,219,157251,15,0,1,39.7377,-87.3858,03/2009/11
220,220,174915,5,0,8,37.4197,-86.4852,05/2009/27
221,221,174917,6,0,8,37.4231,-86.8929,05/2009/27
222,222,159214,14,0,8,38.05,-93.7,03/2009/24
