,EVENT_ID,forest,forest_year
546,166689,0,8
547,176287,0,8
548,169907,0,0
549,172568,0,8
550,190169,0,8
551,167775,0,8
552,167707,0,7
553,174182,0,8
554,166690,0,8
555,169991,0,8
556,173021,0,8
557,173025,0,8
558,173031,0,8
559,169209,0,0
560,161152,0,8
561,161154,0,8
562,167779,0,8
563,179014,0,4
564,179429,0,6
565,179431,0,0
566,175335,0,8
567,175761,0,8
568,167694,0,6
569,174566,0,8
570,174584,0,8
571,169415,0,8
572,158163,0,8
573,158164,0,8
574,158165,0,8
575,179660,0,4
576,179666,0,8
577,166725,0,8
578,175819,0,8
579,166540,0,8
580,172616,0,8
581,172617,0,8
582,172618,0,8
583,175268,0,7
584,169992,0,8
585,170481,0,8
586,170547,0,8
587,166726,0,8
588,177757,-1,-1
589,166634,0,8
590,166635,0,7
591,166551,0,8
592,166729,0,8
593,166529,0,8
594,167676,0,8
595,169410,0,8
596,165941,0,8
597,166723,0,8
598,166724,0,8
599,179763,0,0
600,174565,0,8
601,167937,0,7
602,167695,0,6
603,167699,0,8
604,176988,0,8
605,167923,0,8
606,170393,0,0
607,179798,0,8
608,175804,0,8
609,175811,0,8
610,166539,0,8
611,166727,0,8
612,173899,0,8
613,167705,0,8
614,167930,0,8
615,190176,0,8
616,189436,0,8
617,187760,0,8
618,186634,0,8
619,186635,0,8
620,177888,0,4
621,191178,0,8
622,191180,0,8
623,178431,0,0
624,176882,0,8
625,171037,0,8
626,181191,0,8
627,189426,0,0
628,186668,0,8
629,186670,0,8
630,186672,0,8
631,186674,0,8
632,190970,0,8
633,190971,0,8
634,169387,0,0
635,169184,0,4
636,185919,0,8
637,179771,0,8
638,188237,-1,-1
639,188627,-1,-1
640,190531,0,8
641,186537,0,8
642,186539,0,8
643,186541,0,8
644,162679,-1,-1
645,162680,-1,-1
646,162681,-1,-1
647,190180,0,6
648,190181,0,7
649,163797,-1,-1
650,190486,0,8
651,186800,0,8
652,187899,0,8
653,187901,0,8
654,187903,0,8
655,186534,0,8
656,188286,0,8
657,180373,0,8
658,161240,0,8
659,186637,0,8
660,191120,0,8
661,189899,0,8
662,189938,0,8
663,189940,0,8
664,189943,0,8
665,187765,0,8
666,180326,0,8
667,180328,0,8
668,180334,0,8
669,180336,0,8
670,161176,0,8
671,185740,0,8
672,179944,0,8
673,179898,0,7
674,179902,0,8
675,161181,0,8
676,161231,0,8
677,161247,0,8
678,185778,0,8
679,186633,0,0
680,188157,0,8
681,174875,0,5
682,186667,0,8
683,189944,0,8
684,189949,0,8
685,189953,0,8
686,190256,0,8
687,168439,0,0
688,177136,0,8
689,187589,0,8
690,187603,0,8
691,190273,0,8
692,190170,0,8
693,190171,0,8
694,190173,0,8
695,190175,0,8
696,188169,0,8
697,191955,0,8
698,180531,0,8
699,180532,0,6
700,168365,0,8
701,188338,0,7
702,180473,0,8
703,191621,0,0
704,190294,0,2
705,165992,0,2
706,165994,0,5
707,165995,0,7
708,166002,0,5
709,170633,0,8
710,170634,0,8
711,191477,0,0
712,186198,0,8
713,186200,0,8
714,177784,0,8
715,166001,0,2
716,185889,0,0
717,185893,0,0
718,178108,0,0
719,192318,0,8
720,191488,0,0
721,190205,0,8
722,190552,0,8
723,175850,0,0
724,175877,0,0
725,187816,0,8
726,187818,0,0
727,181047,0,8
728,188535,0,7
729,193612,0,8
730,183984,0,8
731,191413,0,5
732,170885,0,8
733,170887,0,6
734,190296,0,8
735,188525,0,8
736,188534,0,8
737,192171,0,8
738,192782,0,8
739,180385,0,8
740,180386,0,8
741,180397,0,8
742,180403,0,8
743,192182,0,8
744,180440,0,8
745,180443,0,8
746,190550,0,8
747,190551,0,8
748,191478,0,8
749,192178,0,8
750,190855,0,8
751,190866,0,8
752,192623,0,8
753,171987,0,8
754,171988,0,8
755,171989,0,8
756,171993,0,8
757,182819,0,8
758,191459,0,8
